번호,책제목,작가,출판사
227,엄지공주,안데르센,삼성출판사
228,꿈의 날개,NAOKI NISHIDATE,삼양출판사
229,재미있는 축구이야기,신중경,새미출판사
230,겨울이 좋아-단비네 사계절 동화시리즈4-겨울,편집부,새샘
231,부메랑 파이터-귀염둥이 퍼즐,편집부 편 저,새샘
232,상장보다 네가 더 좋아,구민애,새솔
233,까만 달걀,황복실 외,샘터
234,"똥쟁이, 너도 진돗개니?",김재원,섬아이
235,백 번째 손님,김병규,세상모든책
236,"컴퓨터야, 넌 누구니?",고정욱,세상모든책
237,미래는 내가 선택한다,토마스 카힐,솔
238,게으른게 좋아,양혜원,스콜라
239,개미와 물새와 딱따개비,윤기현,시공주니어
240,곰 사냥을 떠나자,마이클 로젠,시공주니어
241,나는 싸기대장의 형님,조성자,시공주니어
242,도깨비 감투,정해왕,시공주니어
243,멍청씨 부부 이야기,로알드 달,시공주니어
244,모래성을 쌓았어요,콜레트 엘링스,시공주니어
245,생명의 역사,버지니아리 버튼,시공주니어
246,아모스와 보리스,윌리엄 스타이그,시공주니어
247,"우와, 이만큼 컸어!",케이트 로언,시공주니어
248,"은서야, 겁내지 마!",황선미,시공주니어
249,이 고쳐 선생과 이빨투성이 괴물,롭 루이스,시공주니어
250,"조금만, 조금만 더",존 레이놀즈 가디너,시공주니어
251,팔죽할멈과 호랑이,박윤규,시공주니어
252,풍퐁이와 툴툴이,조성자,시공주니어
253,하멜른의 피리 부는 사나이,로버트 브라우닝,시공주니어
254,한밤중의 고양이 손님,다카도노 호오코,시공주니어
255,개구리 왕자,송은미,신영미디어
256,기차가 해변으로 간다,정일남,신원문화사
257,수학하는 어린 왕자,생 텍쥐페리,신인류
258,웃다가 꿀꺽 삼킨 수학,생텍쥐베리,신인류
259,난 뭐든지 금방 싫증나!,박비소리,씨앤톡키즈
260,필릭스의 세계여행,아테네랑엔,아가월드
261,책만 읽고 싶어하는 아이,소나 홀트,아래
262,동생 따윈 필요 없어,길지연,아리샘주니어
263,"지구의 봄, 여름, 가을, 겨울",발레리 기두,아이 세움
264,생각을 만드는 책,칼 필립 모리츠,아이들판
265,꿈꾸는 뇌,조은수,아이세움
266,나들이,키무라 유이치,아이세움
267,내 동생 싸게 팔아요,임정자,아이세움
268,마법의 여름,후지와라 카즈에,아이세움
269,빈 집에 온 손님,황선미,아이세움
270,쌀밥 보리밥,강무지,아이세움
271,아주 바쁜 입,신순재,아이세움
272,우리 집은 커다란 조개 껍데기,김동광,아이세움
273,우리나라가 보여요,햇살과 나무꾼,아이세움
274,천둥산 소동,러셀-박항주옮김,아이세움
275,출렁출렁 기쁨과 슬픔,허은실,아이세움
276,폭풍우 치는 밤에,키무라 유이치,아이세움
277,가짜 독서왕,김현태,아이앤북
278,아기토끼가 잠들 때,율리안 유짐,아이에듀테인먼트
279,자신만만 안전 왕,양승현,아이즐
280,부자와 거지는 왜 있는 걸까?,최설희,어린른이
281,김정호와 대동여지도,남춘자,어린이 교육 연구원
282,엄마 친구 아들,노경실,어린이작가정신
283,온조왕(백제를 세우다),김부식,엠엘에스(MLS)
284,어린이가 꼭 알아야 할 환경이야기,프랑스와 미셸,영교
285,가시옷과 황금드레스,베스 눌링,예꿈
286,선한 왕 바츨라프,존 메이스 닐,예꿈
287,형은 배를 타! 난 욕조를 탈게!,킴 케인,예꿈
288,훌륭한걸!,브룩 콜,예꿈
